PostID,Appointee,Year,Party,Gender,Description
7517,Bob Foster,"Jan 16, 2013",Democrat,M,"Bob Foster, 65, of Long Beach, has been appointed to the California Independent Systems Operator Board of Governors, where he has served since 2010. Foster has served as mayor of the City of Long Beach since 2006. He held various positions at Southern California Edison from 1984 to 2006, including president, senior vice president, vice president of public and regulatory affairs and regional vice president. Foster has been a member of the Alliance to Save Energy since 2002 and was a member of the California Chamber of Commerce Board of Directors from 2002 to 2006. This position requires Senate confirmation and the compensation is $20,000. Foster is a Democrat."
42963,Quentin Foster,"Jun 04, 2018",Democrat,M,"Quentin Foster, 42, of Sacramento, has been appointed to the Independent Emissions Market Advisory Committee. Foster has been California Climate Program director at the Environmental Defense Fund since 2016. He was a senior policy advocate at the California Environmental Justice Alliance from 2015 to 2016, a legislative advocate at Public Advocates LLC from 2013 to 2014 and an assembly fellow and legislative aide for the California State Assembly from 2011 to 2013. Foster earned a Master of Public Administration degree in public policy from the University of Southern California and a Bachelor of Science degree in economics from the University of San Francisco. This position does not require Senate confirmation and there is no compensation. Foster is a Democrat."
